Name,Scholar ID,Affiliation
Arselan Ashraf,Tf6mzJEAAAAJ,"Faculty of Computing and Informatics, Multimedia University Cyberjaya, Malaysia"
Stany Wee Lian Fong (Dr.),ZcFmZ9kAAAAJ,"Senior Lecturer of Business Marketing, Multimedia University"
Hau Lee Tong,lUJHx6IAAAAJ,Multimedia University
Audrey Lim Li Chin,fXnymEQAAAAJ,Multimedia University
Thai Siew Bee,aB7ka50AAAAJ,"PhD , Multimedia University"
Dr. Liew Tze Hui,GUGpI94AAAAJ,"Senior Lecturer of Information Science and Technology, Multimedia University, Malayisia"
Al Mansor Abu Said,HWJYxzgAAAAJ,Multimedia University Malaysia
Amin Khodaei,rinaYlYAAAAJ,"Fibre Optics Research Centre, Faculty of Engineering, Multimedia University"
Sharif Ahmed Qasem,3OGLMskAAAAJ,Multimedia University
Asrul Hadi bin Yaacob,oLT2mjcAAAAJ,"Lecturer, Multimedia University"
Ooi Yongson,tSg1FWQAAAAJ,"Lecturer, Multimedia University"
Khazaimatol Shima Subari,6e7MlxgAAAAJ,"Lecturer and Researcher, Multimedia University"
Noor Ashikin Mohd Rom,Q8PlMBQAAAAJ,Multimedia University
Lee Kien FOO,eiF_uSwAAAAJ,Multimedia University
Geeta Krishnasamy,h9X4rZkAAAAJ,"Lecturer, Multimedia University"
HM Mahfuzur Rahman,nkcQqGgAAAAJ,"PhD Fellow, Faculty of Management, Multimedia University"
Subarmaniam Kannan,WwI7INcAAAAJ,"Lecturer: Faculty of information Science and Technology, Multimedia University"
Logah Perumal,CDPHrmMAAAAJ,Multimedia University (MMU) Melaka
SHARMEENI MURUGAN,nj_KJGEAAAAJ,MULTIMEDIA UNIVERSITY
Jee Kian Siong,VzNmAhQAAAAJ,Multimedia University
HF Neo,P3rvAc8AAAAJ,"Lecturer, Multimedia University"
Azwan Mahmud,icDb5XUAAAAJ,"Multimedia University, MMU Malaysia"
Yee-Yann Yap,MJexGxkAAAAJ,Multimedia University
Dr. Chung Gwo Chin,aFsSFtoAAAAJ,Multimedia University
Dennis WK Khong,wM3p01MAAAAJ,"Centre for Law and Technology, Faculty of Law, Multimedia University"
Jesmeen Mohd Zebaral Hoque ( MZH),V6399IIAAAAJ,"Faculty of Engineering and Technology, Multimedia University, Melaka, 75450, Malaysia"
Ya-Ping Wong,y-439HgAAAAJ,Multimedia University
Lim Ying Zhee,GfxVO7sAAAAJ,Multimedia University
Tenku Putri Norishah Tenku Shariman,bBrIiUUAAAAJ,"Lecturer, Multimedia University"
Poh Ping Em,RqAjWDgAAAAJ,"Assistant Professor, Faculty of Engineering & Technology, Multimedia University"
Santhi Ramanathan,B_SRJB8AAAAJ,"Senior Lecturer, Multimedia University"
Deepak Kumar,sbtNDRoAAAAJ,"Faculty of computing and informatics, Multimedia University, Cyberjaya, Malaysia"
Shamima Raihan Manzoor,eOVXJDMAAAAJ,Multimedia University
Choo Kan Yeep,Sy7DG1gAAAAJ,"Associate Professor, Multimedia University"
Aznur Hajar Abdullah,VtCmBr0AAAAJ,"Assistant Professor, Multimedia University"
Dr. Lim Zheng You,hvnAyFgAAAAJ,Multimedia University Malaysia
Chow Mei Min,4kHKBuUAAAAJ,multimedia university
Krishnaveni Letchumanan,0_tQmiAAAAAJ,"Senior Lecturer, Multimedia University, Malaysia"
Zarina Che Embi,L2-dNf0AAAAJ,Multimedia University
Hui-Ngo Goh,sppAQdgAAAAJ,"Assistant Professor, Multimedia University"
CheeSiong Lim,J2HVOR8AAAAJ,Multimedia University
Samini Subramaniam,DfMy7u8AAAAJ,Multimedia University
Goh Han Hwa,K3-aVLoAAAAJ,"Senior Lecturer, Multimedia University"
Sabaa Ahmed Yahya Al-Galal,sYub8AcAAAAJ,Senior Lecturer of Computer Science at MMU
Hezlin Harris,S-IRgX8AAAAJ,"Senior Lecturer, Multimedia University"
Rapiah Zaini,PPE9C5EAAAAJ,"Lecturer, Multimedia University"
Chia Sui Ong,bL8Dl4MAAAAJ,"Lecturer, Multimedia University, Malaysia"
Hasmida Jamaluddin,4BNadK8AAAAJ,"Senior Lecturer, Faculty of Business, Multimedia University"
Pang Suk Min,ehb_8QEAAAAJ,Multimedia University
Goh Pey Yun,EE1jSGUAAAAJ,Multimedia University
Jashila Nair Mogan,VduaRT4AAAAJ,Multimedia University
Abdulaziz Saleh Ba Wazir,hMYGP3UAAAAJ,"Center for Mathematical Sciences (CMS), MMU, Malaysia"
bhawani selvaretnam,26vmB9kAAAAJ,Multimedia University
Izyan Syazana Awaludin,BWctbxIAAAAJ,Senior Lecturer at Multimedia University
Noor Shahaliza Othman,scF4kvoAAAAJ,Multimedia University
Dr. Alawiah Ariffin,AZ6pTVUAAAAJ,MULTIMEDIA UNIVERSITY
Anusuyah Subbarao,2pXcRxoAAAAJ,"Assistant Professor, Multimedia University"
Amy Lim Hui Lan,Ou5C2GIAAAAJ,"Assistant Professor, Multimedia University"
Yap Yee Ling,hMBZ19cAAAAJ,"Faculty of Engineering and Technology, Multimedia University"
Tan CK,eiGmYTQAAAAJ,"Associate Professor of FIST, MMU"
Mohd Fairuz Abd Rahim,gIytKC0AAAAJ,"Senior Lecturer, Multimedia University"
Yeoh Eng Thiam,JtNw62gAAAAJ,"Senior Lecturer, Multimedia University, Malaysia"
Dr. Tan Chi Hau,1PsbZhIAAAAJ,"Assistant Professor, Multimedia University"
Chong Lee Ying,rYpl6ucAAAAJ,Multimedia University
Yvonne Lee,WJv_azEAAAAJ,Multimedia University
Desmond Kho Teck Kiang,q4UrHRkAAAAJ,Multimedia University
Mohd-Haris Lye,LmnukuoAAAAJ,Multimedia University
Syarifah Nur Amanina Syed Abdullah,3_jyLMoAAAAJ,"Ph.D. candidate, Multimedia University Malaysia"
S. Prabha Kumaresan,pvSqdSQAAAAJ,"Assistant Professor, Multimedia University"
Tong Gee Kok,ErmR8-4AAAAJ,Multimedia University
Nafiz Fahad,5D7xuVUAAAAJ,"EliteLab. AI, USA || FACULTY OF INFORMATION SCIENCE AND TECHNOLOGY …"
Dr. CMR Prabhu,ziZEpNgAAAAJ,"SENIOR LECTURER, Faculty of Engineering and Technology, Multimedia University"
Mazen Farid,-vuQJ7IAAAAJ,Senior Lecturer at MMU
Hawa Rahmat,nrapUY4AAAAJ,"Senior Lecturer, Multimedia University, Melaka, Malaysia"
Tay Chai Hua,2Oknfl0AAAAJ,"Postdoctoral Research Fellow, Multimedia University"
olivia Leng,nie2w7YAAAAJ,Multimedia University
Sharmila Rani Moganadas,nNomyacAAAAJ,Multimedia University
Azwina Wati Abdull Manaf,E_VdUWwAAAAJ,"Faculty of Law, Multimedia University"
Noor Ziela Abd Rahman,o_pwj0YAAAAJ,"Senior Lecturer, Multimedia University"
Abdul Rauf,aCeTWQYAAAAJ,"Multimedia University, Malaysia"
Myint Zan,AEMsFG8AAAAJ,"Professor, Faculty of Law, Multimedia University"
Nor Fauziana Ibrahim,8Ffm_dkAAAAJ,Lecturer of Multimedia University
Nabhan D. Salih,8Uulz0IAAAAJ,MMU
Siti Jamaluddin,ldjToMMAAAAJ,Multimedia University
Jing-Hui Kwan,b-K8uiMAAAAJ,Multimedia University
Yee-Loo Foo,34Cq44IAAAAJ,Multimedia University
LC Kwek,eYxJAw8AAAAJ,Multimedia University
Shangeetha Sukumaran,vjft0hUAAAAJ,"Master of Philosophy, Faculty of Management, Multimedia University, Cyberjaya, Malaysia."
Guru Dhillon,vkVqG3cAAAAJ,"Assistant Professor of Law, Multimedia University"
Thangavel Bhuvaneswari,NVFFgRMAAAAJ,"Assistant Professor, Multimedia University"
Daychyi Ku,8AaW45gAAAAJ,Multimedia University
Sharifah Noor Masidayu Sayed Ismail,USLrN60AAAAJ,"Faculty of Information Science & Technology, Multimedia University, Malaysia"
Dr. Chockalingam Palanisamy,ppuGe1kAAAAJ,Multimedia University
Yasir Ullah,MoE2VZEAAAAJ,"Multimedia University, Cyberjaya, Malaysia"
Nisha Kumari Devaraj,4HUhM0sAAAAJ,"Senior Lecturer, Faculty of Artificial Intelligence and Engineering, Multimedia University"
Elyna Amir Sharji,NrDz1sgAAAAJ,"Lecturer, Multimedia University"
Zul Hilmi Abdullah,5KaVdNwAAAAJ,Academician at MMU
Ts. Dr Nor'ain Mohd Yusoff,ebZCZQkAAAAJ,"Faculty of Computing and Informatics, Multimedia University, 63100 Cyberjaya, Selangor …"
Yik Seng Yong,Y6v8KNEAAAAJ,"Assistant Professor, Multimedia University"
JETAP,r_dTbZcAAAAJ,Multimedia University
Suraya Nurain Kalid,wKRMd8sAAAAJ,Multimedia University
Rossanne Gale Vergara,_pFuN5AAAAAJ,Multimedia University
Yvonne Kam Hwei Syn,1HDLkJIAAAAJ,Multimedia University
Dr. Jack Ng Kok Wah,UupnrtMAAAAJ,"Senior Lecturer, Multimedia University Cyberjaya"
Chew Yee Jian,DeUSD_0AAAAJ,Multimedia University
Ahmad Farimin Ahmad Osman,bFg0S5kAAAAJ,"Faculty of Engineering, Multimedia University, Malaysia"
Veeramuthu Veerappan,9jwRh5sAAAAJ,Multimedia University
Aysa Siddika,ooTDZO8AAAAJ,"Multimedia University, Cyberjaya Campus"
Ng Sew Lai,lPw0sB0AAAAJ,Lecturer of Multimedia University
Dr Sameena Javaid,0Hg7wgUAAAAJ,Multimedia University
Li Wah Thong,aF78wzsAAAAJ,Multimedia University
"Shuk-Wern, Ong",5hepHhQAAAAJ,"Multimedia University, Melaka, Malaysia"
Zuriani Hayati Abdullah,KD_CtGQAAAAJ,"Senior Lecturer, Multimedia University"
Chin Hui Teh,yo3VQKkAAAAJ,"Lecturer, Multimedia University"
Mohd Rizal Abdul Razak,fDo9t5QAAAAJ,"Assistant Professor, Multimedia University, Malaysia"
Natalya Shamsuar,wiqxm3sAAAAJ,"Lecturer, Faculty of Creative Multimedia, Multimedia University, Malaysia"
Chean Khim Toa,rclfg94AAAAJ,Multimedia University
THdahawi,ex7E34EAAAAJ,Research scholar at Multimedia University -Malaysia
Nur Asyiqin Amir Hamzah,vTxFgd8AAAAJ,"Lecturer of Engineering, Multimedia University"
khairi shazwan Dollmat,bD-peYEAAAAJ,"Faculty of Computing and Informatics, Multimedia University"
Olivia Tan Swee Leng,PszEA28AAAAJ,Multimedia University
Hafiz Adnan Hussain,IYDv7IEAAAAJ,Multimedia University - MMU Cyberjaya
Yoon-Teck Bau,rCN3acQAAAAJ,Multimedia University
Anushia Chelvarayan,_FSlzAsAAAAJ,"Senior Lecturer, Multimedia University"
Yean Li Ho,HYyv08gAAAAJ,"Lecturer, Faculty of Information Science and Technology, Multimedia University"
S. Syahali,38cEJscAAAAJ,Multimedia University
Sarmela Raja Sekaran,sbW_56AAAAAJ,Multimedia University
Azleen Shabrina Mohd Nor,WTPMpI4AAAAJ,Multimedia University
Ashikur Rahman,qPJ9PL8AAAAJ,Multimedia University
Boon Chin Yeo,BVAY8hIAAAAJ,Multimedia University
Dr. Chong Choy Yoke,ZHmy75YAAAAJ,"Lecturer of Quantitative Unit, Multimedia University"
MD KAMRUZZAMAN,I2waQhIAAAAJ,"Ph.D. Researcher, Multimedia University, Malaysia"
Tan Sin Yin,qeTUj7IAAAAJ,Multimedia University
Noor Hisham Kamis,NBjdT58AAAAJ,Multimedia University
Siti Musliha Aishah Musa,rH1O6_cAAAAJ,multimedia university
Dendi Permadi,V3QARsgAAAAJ,"Lecturer, Multimedia University, Cyberjaya, Malaysia"
Mohammad Shadab Khan,WrxkWikAAAAJ,"Assistant Professor, Faculty of Informatics & Computing, Multimedia University, Cyberjaya …"
Mohd Nazeri Kamaruddin,NI2-DosAAAAJ,"Lecturer of Engineering, Multimedia University"
Thirumalaimuthu Thirumalaiappan Ramanathan,JcBt0HAAAAAJ,Multimedia University
